#  H2 - NNLOopt data
#    H2E  Nmax      hw   UVeff    Leff
#=====================================
 -2.0618    10  22.274  750.00   7.077
 -2.2006    20  12.763  750.00  12.350
 -2.2076    30   8.947  750.00  17.617
 -2.2076    40   6.889  750.00  22.882
 -2.2077    50   5.600  750.00  28.145
 -2.2077    60   4.718  750.00  33.409
 -2.2077    70   4.076  750.00  38.671
 -2.2078    80   3.588  750.00  43.934
 -2.2078    90   3.204  750.00  49.197
 -2.2078   100   2.894  750.00  54.459
 -2.2078   110   2.639  750.00  59.722
 -2.2079   120   2.426  750.00  64.984
 -2.2078   130   2.244  750.00  70.246
 -2.2079   140   2.088  750.00  75.509
 -2.2078   150   1.951  750.00  80.771
 -2.2078   160   1.832  750.00  86.033
 -2.2079   170   1.727  750.00  91.295
 -2.2078   180   1.632  750.00  96.558
 -2.2079   190   1.548  750.00 101.820
 -2.2079   200   1.472  750.00 107.082
 -2.2079   210   1.403  750.00 112.344
 -2.2078   220   1.340  750.00 117.606
 -2.2079   230   1.283  750.00 122.869
 -2.2079   240   1.230  750.00 128.131
 -2.2079   250   1.182  750.00 133.393
#
 -2.0150    10  25.343  800.00   6.634
 -2.2124    20  14.521  800.00  11.578
 -2.2216    30  10.180  800.00  16.516
 -2.2215    40   7.838  800.00  21.452
 -2.2215    50   6.372  800.00  26.386
 -2.2215    60   5.368  800.00  31.321
 -2.2215    70   4.638  800.00  36.255
 -2.2215    80   4.082  800.00  41.188
 -2.2215    90   3.645  800.00  46.122
 -2.2215   100   3.293  800.00  51.056
 -2.2215   110   3.003  800.00  55.989
 -2.2215   120   2.760  800.00  60.923
 -2.2215   130   2.553  800.00  65.856
 -2.2215   140   2.375  800.00  70.789
 -2.2215   150   2.220  800.00  75.723
 -2.2215   160   2.085  800.00  80.656
 -2.2215   170   1.964  800.00  85.589
 -2.2215   180   1.857  800.00  90.523
 -2.2215   190   1.761  800.00  95.456
 -2.2215   200   1.675  800.00 100.389
 -2.2215   210   1.596  800.00 105.323
 -2.2215   220   1.525  800.00 110.256
 -2.2215   230   1.460  800.00 115.189
 -2.2215   240   1.400  800.00 120.123
 -2.2215   250   1.344  800.00 125.056
#
 -1.9339    10  28.610  850.00   6.244
 -2.2114    20  16.393  850.00  10.897
 -2.2239    30  11.492  850.00  15.544
 -2.2242    40   8.848  850.00  20.190
 -2.2243    50   7.193  850.00  24.834
 -2.2243    60   6.060  850.00  29.478
 -2.2243    70   5.235  850.00  34.122
 -2.2242    80   4.608  850.00  38.765
 -2.2242    90   4.115  850.00  43.409
 -2.2242   100   3.718  850.00  48.052
 -2.2242   110   3.390  850.00  52.696
 -2.2242   120   3.116  850.00  57.339
 -2.2242   130   2.882  850.00  61.982
 -2.2242   140   2.681  850.00  66.625
 -2.2242   150   2.507  850.00  71.268
 -2.2242   160   2.353  850.00  75.912
 -2.2242   170   2.218  850.00  80.555
 -2.2242   180   2.097  850.00  85.198
 -2.2242   190   1.988  850.00  89.841
 -2.2242   200   1.891  850.00  94.484
 -2.2242   210   1.802  850.00  99.127
 -2.2242   220   1.722  850.00 103.770
 -2.2242   230   1.648  850.00 108.413
 -2.2242   240   1.580  850.00 113.057
 -2.2242   250   1.518  850.00 117.700
#
 -1.8336    10  32.075  900.00   5.897
 -2.2064    20  18.378  900.00  10.292
 -2.2236    30  12.884  900.00  14.681
 -2.2245    40   9.920  900.00  19.068
 -2.2246    50   8.065  900.00  23.455
 -2.2246    60   6.794  900.00  27.840
 -2.2246    70   5.869  900.00  32.226
 -2.2246    80   5.166  900.00  36.612
 -2.2246    90   4.614  900.00  40.997
 -2.2246   100   4.168  900.00  45.383
