#  H2 - NNLOopt data
#    H2R  Nmax      hw   UVeff    Leff
#=====================================
  1.6381    10  22.274  750.00   7.077
  1.9179    20  12.763  750.00  12.350
  1.9756    30   8.947  750.00  17.617
  1.9773    40   6.889  750.00  22.882
  1.9804    50   5.600  750.00  28.145
  1.9812    60   4.718  750.00  33.409
  1.9826    70   4.076  750.00  38.671
  1.9838    80   3.588  750.00  43.934
  1.9851    90   3.204  750.00  49.197
  1.9864   100   2.894  750.00  54.459
  1.9876   110   2.639  750.00  59.722
  1.9888   120   2.426  750.00  64.984
  1.9901   130   2.244  750.00  70.246
  1.9913   140   2.088  750.00  75.509
  1.9926   150   1.951  750.00  80.771
  1.9938   160   1.832  750.00  86.033
  1.9950   170   1.727  750.00  91.295
  1.9964   180   1.632  750.00  96.558
  1.9976   190   1.548  750.00 101.820
  1.9988   200   1.472  750.00 107.082
  2.0000   210   1.403  750.00 112.344
  2.0013   220   1.340  750.00 117.606
  2.0025   230   1.283  750.00 122.869
  2.0038   240   1.230  750.00 128.131
  2.0049   250   1.182  750.00 133.393
#
  1.5845    10  25.343  800.00   6.634
  1.8950    20  14.521  800.00  11.578
  1.9641    30  10.180  800.00  16.516
  1.9685    40   7.838  800.00  21.452
  1.9708    50   6.372  800.00  26.386
  1.9707    60   5.368  800.00  31.321
  1.9711    70   4.638  800.00  36.255
  1.9713    80   4.082  800.00  41.188
  1.9716    90   3.645  800.00  46.122
  1.9719   100   3.293  800.00  51.056
  1.9721   110   3.003  800.00  55.989
  1.9724   120   2.760  800.00  60.923
  1.9726   130   2.553  800.00  65.856
  1.9729   140   2.375  800.00  70.789
  1.9732   150   2.220  800.00  75.723
  1.9734   160   2.085  800.00  80.656
  1.9737   170   1.964  800.00  85.589
  1.9740   180   1.857  800.00  90.523
  1.9743   190   1.761  800.00  95.456
  1.9745   200   1.675  800.00 100.389
  1.9748   210   1.596  800.00 105.323
  1.9750   220   1.525  800.00 110.256
  1.9753   230   1.460  800.00 115.189
  1.9755   240   1.400  800.00 120.123
  1.9759   250   1.344  800.00 125.056
#
  1.5347    10  28.610  850.00   6.244
  1.8749    20  16.393  850.00  10.897
  1.9569    30  11.492  850.00  15.544
  1.9665    40   8.848  850.00  20.190
  1.9686    50   7.193  850.00  24.834
  1.9684    60   6.060  850.00  29.478
  1.9686    70   5.235  850.00  34.122
  1.9686    80   4.608  850.00  38.765
  1.9686    90   4.115  850.00  43.409
  1.9686   100   3.718  850.00  48.052
  1.9687   110   3.390  850.00  52.696
  1.9687   120   3.116  850.00  57.339
  1.9688   130   2.882  850.00  61.982
  1.9688   140   2.681  850.00  66.625
  1.9688   150   2.507  850.00  71.268
  1.9689   160   2.353  850.00  75.912
  1.9689   170   2.218  850.00  80.555
  1.9689   180   2.097  850.00  85.198
  1.9690   190   1.988  850.00  89.841
  1.9690   200   1.891  850.00  94.484
  1.9690   210   1.802  850.00  99.127
  1.9691   220   1.722  850.00 103.770
  1.9691   230   1.648  850.00 108.413
  1.9691   240   1.580  850.00 113.057
  1.9692   250   1.518  850.00 117.700
#
  1.4881    10  32.075  900.00   5.897
  1.8528    20  18.378  900.00  10.292
  1.9497    30  12.884  900.00  14.681
  1.9656    40   9.920  900.00  19.068
  1.9681    50   8.065  900.00  23.455
  1.9682    60   6.794  900.00  27.840
  1.9682    70   5.869  900.00  32.226
  1.9682    80   5.166  900.00  36.612
  1.9682    90   4.614  900.00  40.997
  1.9682   100   4.168  900.00  45.383
  1.9682   110   3.801  900.00  49.768
  1.9682   120   3.493  900.00  54.153
  1.9682   130   3.231  900.00  58.539
  1.9682   140   3.006  900.00  62.924
  1.9682   150   2.810  900.00  67.309
  1.9682   160   2.638  900.00  71.694
  1.9682   170   2.486  900.00  76.080
  1.9682   180   2.351  900.00  80.465
  1.9683   190   2.229  900.00  84.850
  1.9683   200   2.120  900.00  89.235
  1.9683   210   2.020  900.00  93.620
  1.9683   220   1.930  900.00  98.005
  1.9683   230   1.847  900.00 102.391
  1.9683   240   1.771  900.00 106.776
  1.9683   250   1.702  900.00 111.161
#
  1.4448    10  35.738  950.00   5.587
