# He3 - NNLOopt data
#   He3R  Nmax      hw   UVeff    Leff
# =====================================
  1.7066    10  20.215  750.00   7.797
  1.7411    12  17.788  750.00   8.861
  1.7715    14  15.885  750.00   9.923
  1.7818    16  14.352  750.00  10.982
  1.7928    18  13.091  750.00  12.041
  1.7956    20  12.034  750.00  13.098
  1.8003    22  11.136  750.00  14.155
  1.8012    24  10.363  750.00  15.211
  1.8034    26   9.690  750.00  16.267
  1.8039    28   9.100  750.00  17.322
  1.8051    30   8.577  750.00  18.377
  1.8056    32   8.112  750.00  19.431
  1.8063    34   7.694  750.00  20.486
  1.8067    36   7.318  750.00  21.540
  1.8072    38   6.976  750.00  22.594
  1.8076    40   6.665  750.00  23.648
#
  1.6774    10  23.000  800.00   7.310
  1.7211    12  20.239  800.00   8.308
  1.7563    14  18.074  800.00   9.303
  1.7708    16  16.330  800.00  10.296
  1.7835    18  14.894  800.00  11.288
  1.7875    20  13.692  800.00  12.280
  1.7926    22  12.670  800.00  13.270
  1.7935    24  11.790  800.00  14.260
  1.7956    26  11.025  800.00  15.250
  1.7959    28  10.353  800.00  16.239
  1.7968    30   9.759  800.00  17.228
  1.7970    32   9.229  800.00  18.217
  1.7975    34   8.754  800.00  19.205
  1.7976    36   8.326  800.00  20.194
  1.7979    38   7.938  800.00  21.182
  1.7980    40   7.584  800.00  22.170
#
  1.6483    10  25.965  850.00   6.880
  1.7025    12  22.847  850.00   7.819
  1.7419    14  20.404  850.00   8.755
  1.7626    16  18.435  850.00   9.690
  1.7770    18  16.814  850.00  10.624
  1.7835    20  15.457  850.00  11.557
  1.7889    22  14.303  850.00  12.490
  1.7906    24  13.310  850.00  13.421
  1.7927    26  12.446  850.00  14.353
  1.7931    28  11.688  850.00  15.284
  1.7939    30  11.017  850.00  16.215
  1.7940    32  10.419  850.00  17.145
  1.7944    34   9.883  850.00  18.076
  1.7944    36   9.399  850.00  19.006
  1.7946    38   8.961  850.00  19.936
  1.7946    40   8.561  850.00  20.866
#
  1.6185    10  29.109  900.00   6.498
  1.6824    12  25.614  900.00   7.384
