# He4 - NNLOopt data
#   He4E  Nmax      hw   UVeff    Leff
#=====================================
-24.7058     4  30.247  750.00   5.211
-26.0553     6  24.948  750.00   6.318
-26.5153     8  21.276  750.00   7.409
-26.7177    10  18.568  750.00   8.489
-26.8230    12  16.483  750.00   9.563
-26.8879    14  14.824  750.00  10.633
-26.9306    16  13.473  750.00  11.699
-26.9609    18  12.350  750.00  12.763
-26.9830    20  11.401  750.00  13.826
#
-24.7662     4  34.415  800.00   4.885
-26.5212     6  28.385  800.00   5.923
-26.9753     8  24.207  800.00   6.945
-27.1592    10  21.126  800.00   7.958
-27.2336    12  18.754  800.00   8.965
-27.2782    14  16.867  800.00   9.968
-27.3043    16  15.329  800.00  10.968
-27.3223    18  14.051  800.00  11.966
-27.3350    20  12.972  800.00  12.962
#
-24.4461     4  38.851  850.00   4.598
-26.7217     6  32.044  850.00   5.575
-27.2154     8  27.328  850.00   6.537
-27.3881    10  23.850  850.00   7.490
-27.4387    12  21.171  850.00   8.438
-27.4674    14  19.041  850.00   9.382
-27.4809    16  17.305  850.00  10.323
-27.4902    18  15.863  850.00  11.262
-27.4962    20  14.644  850.00  12.199
#
-23.7295     4  43.556  900.00   4.343
-26.6864     6  35.925  900.00   5.265
-27.3014     8  30.638  900.00   6.174
-27.4817    10  26.738  900.00   7.074
-27.5248    12  23.735  900.00   7.969
-27.5448    14  21.347  900.00   8.861
-27.5520    16  19.401  900.00   9.749
-27.5567    18  17.784  900.00  10.636
-27.5593    20  16.417  900.00  11.521
#
-22.5887     4  48.530  950.00   4.114
-26.4442     6  40.028  950.00   4.988
-27.2838     8  34.136  950.00   5.849
-27.5010    10  29.791  950.00   6.702
-27.5548    12  26.445  950.00   7.550
-27.5724    14  23.785  950.00   8.394
-27.5777    16  21.617  950.00   9.236
-27.5804    18  19.815  950.00  10.076
-27.5817    20  18.292  950.00  10.915
#
-20.9803     4  53.773 1000.00   3.908
-26.0131     6  44.352 1000.00   4.739
-27.1877     8  37.824 1000.00   5.556
-27.4809    10  33.010 1000.00   6.367
-27.5606    12  29.302 1000.00   7.172
-27.5806    14  26.355 1000.00   7.975
-27.5865    16  23.952 1000.00   8.774
-27.5884    18  21.955 1000.00   9.572
-27.5892    20  20.268 1000.00  10.369
#
-18.8426     4  59.285 1050.00   3.722
-25.3925     6  48.898 1050.00   4.513
-27.0144     8  41.701 1050.00   5.292
-27.4330    10  36.393 1050.00   6.064
-27.5518    12  32.306 1050.00   6.831
-27.5804    14  29.056 1050.00   7.595
-27.5886    16  26.407 1050.00   8.357
-27.5906    18  24.206 1050.00   9.117
-27.5913    20  22.346 1050.00   9.875
#
-16.0994     4  65.065 1100.00   3.553
-24.5628     6  53.666 1100.00   4.308
-26.7526     8  45.767 1100.00   5.051
-27.3556    10  39.942 1100.00   5.788
-27.5290    12  35.456 1100.00   6.520
-27.5749    14  31.889 1100.00   7.250
-27.5874    16  28.982 1100.00   7.977
-27.5907    18  26.566 1100.00   8.702
-27.5916    20  24.525 1100.00   9.427
#
-12.6661     4  71.115 1150.00   3.399
-23.4903     6  58.655 1150.00   4.121
-26.3873     8  50.023 1150.00   4.832
-27.2410    10  43.656 1150.00   5.536
-27.4906    12  38.752 1150.00   6.237
-27.5643    14  34.854 1150.00   6.934
-27.5842    16  31.677 1150.00   7.630
-27.5900    18  29.036 1150.00   8.324
-27.5914    20  26.805 1150.00   9.017
#
 -8.4609     4  77.433 1200.00   3.257
-22.1319     6  63.867 1200.00   3.949
-25.9041     8  54.467 1200.00   4.630
-27.0782    10  47.534 1200.00   5.306
-27.4340    12  42.195 1200.00   5.977
-27.5468    14  37.951 1200.00   6.645
-27.5787    16  34.491 1200.00   7.312
-27.5884    18  31.615 1200.00   7.977
-27.5910    20  29.186 1200.00   8.641
#
 -3.4091     4  84.020 1250.00   3.127
-20.4407     6  69.300 1250.00   3.791
-25.2877     8  59.100 1250.00   4.445
-26.8545    10  51.578 1250.00   5.093
-27.3546    12  45.785 1250.00   5.738
-27.5194    14  41.179 1250.00   6.380
-27.5700    16  37.425 1250.00   7.020
-27.5855    18  34.305 1250.00   7.658
-27.5901    20  31.669 1250.00   8.295
#
  2.5496     4  90.876 1300.00   3.006
-18.3675     6  74.955 1300.00   3.645
-24.5193     8  63.923 1300.00   4.274
-26.5569    10  55.787 1300.00   4.898
-27.2456    12  49.521 1300.00   5.517
-27.4788    14  44.539 1300.00   6.134
-27.5563    16  40.479 1300.00   6.750
-27.5808    18  37.104 1300.00   7.363
-27.5886    20  34.253 1300.00   7.976
#
  9.4585     4  98.001 1350.00   2.895
-15.8636     6  80.831 1350.00   3.510
-23.5759     8  68.935 1350.00   4.116
-26.1731    10  60.161 1350.00   4.716
-27.0989    12  53.404 1350.00   5.313
-27.4215    14  48.031 1350.00   5.907
-27.5357    16  43.653 1350.00   6.500
-27.5735    18  40.013 1350.00   7.091
-27.5861    20  36.939 1350.00   7.681
#
 17.3425     4 105.395 1400.00   2.792
-12.8810     6  86.930 1400.00   3.385
-22.4303     8  74.135 1400.00   3.969
-25.6921    10  64.699 1400.00   4.548
-26.9053    12  57.433 1400.00   5.123
-27.3438    14  51.655 1400.00   5.696
-27.5056    16  46.946 1400.00   6.267
-27.5625    18  43.032 1400.00   6.837
-27.5820    20  39.726 1400.00   7.407
#
 26.2079     4 113.058 1450.00   2.695
 -9.3765     6  93.250 1450.00   3.268
-21.0518     8  79.525 1450.00   3.832
-25.1024    10  69.403 1450.00   4.391
-26.6554    12  61.608 1450.00   4.946
-27.2410    14  55.411 1450.00   5.500
-27.4633    16  50.359 1450.00   6.051
-27.5463    18  46.161 1450.00   6.602
-27.5758    20  42.614 1450.00   7.151
#
 36.0425     4 120.989 1500.00   2.606
 -5.3099     6  99.792 1500.00   3.159
-19.4084     8  85.104 1500.00   3.704
-24.3915    10  74.272 1500.00   4.245
-26.3399    12  65.930 1500.00   4.782
-27.1072    14  59.298 1500.00   5.316
-27.4061    16  53.892 1500.00   5.850
-27.5231    18  49.399 1500.00   6.382
-27.5667    20  45.604 1500.00   6.913
#
