# He4 - NNLOopt data
#   He4R  Nmax      hw   UVeff    Leff
#=====================================
  1.3661     4  30.247  750.00   5.211
  1.4206     6  24.948  750.00   6.318
  1.4407     8  21.276  750.00   7.409
  1.4485    10  18.568  750.00   8.489
  1.4511    12  16.483  750.00   9.563
  1.4529    14  14.824  750.00  10.633
  1.4538    16  13.473  750.00  11.699
  1.4547    18  12.350  750.00  12.763
  1.4555    20  11.401  750.00  13.826
#
  1.3315     4  34.415  800.00   4.885
  1.4016     6  28.385  800.00   5.923
  1.4263     8  24.207  800.00   6.945
  1.4377    10  21.126  800.00   7.958
  1.4399    12  18.754  800.00   8.965
  1.4419    14  16.867  800.00   9.968
  1.4423    16  15.329  800.00  10.968
  1.4428    18  14.051  800.00  11.966
  1.4430    20  12.972  800.00  12.962
#
  1.2982     4  38.851  850.00   4.598
  1.3822     6  32.044  850.00   5.575
  1.4152     8  27.328  850.00   6.537
  1.4305    10  23.850  850.00   7.490
  1.4339    12  21.171  850.00   8.438
  1.4363    14  19.041  850.00   9.382
  1.4365    16  17.305  850.00  10.323
  1.4369    18  15.863  850.00  11.262
  1.4370    20  14.644  850.00  12.199
#
  1.2654     4  43.556  900.00   4.343
  1.3618     6  35.925  900.00   5.265
  1.4053     8  30.638  900.00   6.174
  1.4249    10  26.738  900.00   7.074
  1.4308    12  23.735  900.00   7.969
  1.4336    14  21.347  900.00   8.861
  1.4341    16  19.401  900.00   9.749
  1.4346    18  17.784  900.00  10.636
  1.4346    20  16.417  900.00  11.521
#
  1.2326     4  48.530  950.00   4.114
  1.3400     6  40.028  950.00   4.988
  1.3944     8  34.136  950.00   5.849
  1.4193    10  29.791  950.00   6.702
  1.4286    12  26.445  950.00   7.550
  1.4322    14  23.785  950.00   8.394
  1.4332    16  21.617  950.00   9.236
  1.4337    18  19.815  950.00  10.076
  1.4338    20  18.292  950.00  10.915
#
  1.1993     4  53.773 1000.00   3.908
  1.3168     6  44.352 1000.00   4.739
  1.3815     8  37.824 1000.00   5.556
  1.4126    10  33.010 1000.00   6.367
  1.4261    12  29.302 1000.00   7.172
  1.4310    14  26.355 1000.00   7.975
  1.4327    16  23.952 1000.00   8.774
  1.4333    18  21.955 1000.00   9.572
  1.4335    20  20.268 1000.00  10.369
#
  1.1655     4  59.285 1050.00   3.722
  1.2921     6  48.898 1050.00   4.513
  1.3660     8  41.701 1050.00   5.292
  1.4044    10  36.393 1050.00   6.064
  1.4225    12  32.306 1050.00   6.831
  1.4295    14  29.056 1050.00   7.595
  1.4322    16  26.407 1050.00   8.357
  1.4331    18  24.206 1050.00   9.117
  1.4334    20  22.346 1050.00   9.875
#
  1.1315     4  65.065 1100.00   3.553
  1.2662     6  53.666 1100.00   4.308
  1.3484     8  45.767 1100.00   5.051
  1.3944    10  39.942 1100.00   5.788
  1.4174    12  35.456 1100.00   6.520
  1.4274    14  31.889 1100.00   7.250
  1.4313    16  28.982 1100.00   7.977
  1.4327    18  26.566 1100.00   8.702
  1.4333    20  24.525 1100.00   9.427
#
  1.0976     4  71.115 1150.00   3.399
  1.2393     6  58.655 1150.00   4.121
  1.3289     8  50.023 1150.00   4.832
  1.3826    10  43.656 1150.00   5.536
  1.4110    12  38.752 1150.00   6.237
  1.4244    14  34.854 1150.00   6.934
  1.4300    16  31.677 1150.00   7.630
  1.4323    18  29.036 1150.00   8.324
  1.4331    20  26.805 1150.00   9.017
#
  1.0641     4  77.433 1200.00   3.257
  1.2118     6  63.867 1200.00   3.949
  1.3082     8  54.467 1200.00   4.630
  1.3689    10  47.534 1200.00   5.306
  1.4030    12  42.195 1200.00   5.977
  1.4205    14  37.951 1200.00   6.645
  1.4282    16  34.491 1200.00   7.312
  1.4315    18  31.615 1200.00   7.977
  1.4328    20  29.186 1200.00   8.641
#
  1.0314     4  84.020 1250.00   3.127
  1.1839     6  69.300 1250.00   3.791
  1.2865     8  59.100 1250.00   4.445
  1.3536    10  51.578 1250.00   5.093
  1.3936    12  45.785 1250.00   5.738
  1.4153    14  41.179 1250.00   6.380
  1.4257    16  37.425 1250.00   7.020
  1.4304    18  34.305 1250.00   7.658
  1.4323    20  31.669 1250.00   8.295
#
  0.9996     4  90.876 1300.00   3.006
  1.1559     6  74.955 1300.00   3.645
  1.2641     8  63.923 1300.00   4.274
  1.3368    10  55.787 1300.00   4.898
  1.3827    12  49.521 1300.00   5.517
  1.4088    14  44.539 1300.00   6.134
  1.4224    16  40.479 1300.00   6.750
  1.4288    18  37.104 1300.00   7.363
  1.4316    20  34.253 1300.00   7.976
#
  0.9689     4  98.001 1350.00   2.895
  1.1278     6  80.831 1350.00   3.510
  1.2411     8  68.935 1350.00   4.116
  1.3190    10  60.161 1350.00   4.716
  1.3704    12  53.404 1350.00   5.313
  1.4012    14  48.031 1350.00   5.907
  1.4182    16  43.653 1350.00   6.500
  1.4266    18  40.013 1350.00   7.091
  1.4306    20  36.939 1350.00   7.681
#
  0.9394     4 105.395 1400.00   2.792
  1.1000     6  86.930 1400.00   3.385
  1.2177     8  74.135 1400.00   3.969
  1.3003    10  64.699 1400.00   4.548
  1.3568    12  57.433 1400.00   5.123
  1.3923    14  51.655 1400.00   5.696
  1.4129    16  46.946 1400.00   6.267
  1.4238    18  43.032 1400.00   6.837
  1.4292    20  39.726 1400.00   7.407
#
  0.9112     4 113.058 1450.00   2.695
  1.0725     6  93.250 1450.00   3.268
  1.1941     8  79.525 1450.00   3.832
  1.2810    10  69.403 1450.00   4.391
  1.3421    12  61.608 1450.00   4.946
  1.3823    14  55.411 1450.00   5.500
  1.4066    16  50.359 1450.00   6.051
  1.4203    18  46.161 1450.00   6.602
  1.4273    20  42.614 1450.00   7.151
#
  0.8842     4 120.989 1500.00   2.606
  1.0456     6  99.792 1500.00   3.159
  1.1703     8  85.104 1500.00   3.704
  1.2612    10  74.272 1500.00   4.245
  1.3265    12  65.930 1500.00   4.782
  1.3711    14  59.298 1500.00   5.316
  1.3993    16  53.892 1500.00   5.850
