# A=6, Z=2 
# NNLOopt interaction 
#  e     Nmax   HW     UVeff    Leff
#====================================
# 
 -16.123   4   22.00   750.91    7.173 
 -20.343   6   18.83   749.99    8.371 
# 
 -15.749   4   24.97   799.99    6.733 
 -20.879   6   21.42   799.91    7.848 
 -23.183   8   18.83   799.96    8.929 
 -24.448  10   16.83   799.90    9.989 
 -25.202  12   15.24   800.00   11.032 
 -25.684  14   13.93   799.90   12.068 
 -26.013  16   12.84   799.97   13.094 
 -26.246  18   11.91   799.92   14.116 
# 
 -14.714   4   28.19   850.01    6.337 
 -20.931   6   24.19   850.06    7.385 
 -23.593   8   21.26   850.02    8.403 
 -24.981  10   19.00   849.90    9.401 
 -25.763  12   17.20   849.89   10.385 
 -26.242  14   15.73   850.01   11.357 
 -26.552  16   14.50   850.11   12.322 
 -26.764  18   13.45   850.06   13.283 
# 
  81.834   0   50.00   899.16    3.779 
 -12.998   4   31.60   899.95    5.985 
 -20.502   6   27.12   900.07    6.975 
 -23.650   8   23.83   899.93    7.937 
 -25.206  10   21.31   900.09    8.877 
 -26.047  12   19.29   900.04    9.806 
 -26.534  14   17.63   899.88   10.727 
 -26.838  16   16.25   899.95   11.639 
 -27.037  18   15.08   900.10   12.544 
# 
  12.753   2   42.60   949.42    4.684 
 -10.538   4   35.21   949.97    5.670 
 -19.593   6   30.21   949.96    6.609 
 -23.383   8   26.56   950.08    7.518 
 -25.177  10   23.74   950.02    8.410 
 -26.120  12   21.49   949.98    9.291 
 -26.644  14   19.65   950.04   10.161 
 -26.958  16   18.11   950.06   11.025 
 -27.157  18   16.80   950.05   11.885 
# 
  -7.248   4   39.02  1000.05    5.386 
 -18.189   6   33.48  1000.06    6.278 
 -22.812   8   29.42   999.92    7.143 
 -24.937  10   26.30   999.93    7.991 
 -26.036  12   23.81   999.95    8.826 
 -26.629  14   21.77   999.97    9.654 
 -26.976  16   20.06   999.90   10.476 
 -27.189  18   18.61   999.92   11.292 
# 
  -3.031   4   43.02  1050.05    5.130 
 -16.286   6   36.91  1050.03    5.979 
 -21.936   8   32.44  1049.99    6.802 
 -24.511  10   29.00  1050.01    7.609 
 -25.825  12   26.25  1049.93    8.406 
 -26.525  14   24.00  1049.94    9.194 
 -26.925  16   22.12  1049.98    9.976 
 -27.167  18   20.52  1049.98   10.754 
# 
   2.235   4   47.21  1100.00    4.897 
 -13.854   6   40.51  1100.05    5.707 
 -20.750   8   35.60  1099.94    6.494 
 -23.905  10   31.83  1100.05    7.263 
 -25.499  12   28.81  1099.94    8.024 
 -26.345  14   26.34  1099.93    8.776 
 -26.823  16   24.28  1100.06    9.522 
 -27.107  18   22.52  1099.95   10.265 
# 
   8.695   4   51.60  1150.01    4.684 
 -10.860   6   44.27  1149.97    5.459 
 -19.232   8   38.91  1149.94    6.211 
 -23.108  10   34.79  1150.06    6.947 
 -25.055  12   31.49  1149.96    7.675 
 -26.092  14   28.79  1149.95    8.395 
 -26.672  16   26.53  1149.90    9.109 
 -27.014  18   24.62  1150.10    9.818 
# 
  83.183   2   68.00  1199.52    3.707 
  16.466   4   56.18  1199.96    4.489 
  -7.232   6   48.21  1200.05    5.231 
 -17.356   8   42.37  1199.98    5.952 
 -22.104  10   37.88  1200.04    6.658 
 -24.487  12   34.29  1200.00    7.355 
 -25.760  14   31.35  1199.99    8.045 
 -26.471  16   28.89  1199.95    8.729 
 -26.888  18   26.80  1199.94    9.410 
# 
 105.263   2   73.94  1250.82    3.555 
  25.689   4   60.96  1249.97    4.309 
  -2.917   6   52.31  1250.04    5.022 
 -15.090   8   45.98  1250.06    5.714 
 -20.869  10   41.10  1250.01    6.392 
 -23.779  12   37.21  1250.05    7.060 
 -25.340  14   34.02  1250.05    7.722 
 -26.215  16   31.35  1250.00    8.380 
 -26.727  18   29.08  1249.94    9.033 
# 
  36.475   4   65.94  1300.02    4.143 
   2.164   6   56.57  1299.94    4.829 
 -12.406   8   49.73  1300.03    5.494 
 -19.378  10   44.45  1299.95    6.146 
 -22.921  12   40.24  1299.95    6.789 
 -24.826  14   36.79  1299.94    7.426 
 -25.898  16   33.91  1300.03    8.057 
 -26.525  18   31.46  1300.08    8.685 
# 
  48.883   4   71.11  1350.03    3.990 
   8.121   6   61.01  1349.99    4.650 
  -9.256   8   53.63  1350.05    5.291 
 -17.602  10   47.94  1350.02    5.918 
 -21.886  12   43.40  1350.03    6.538 
 -24.200  14   39.68  1350.03    7.150 
 -25.509  16   36.57  1350.06    7.759 
 -26.278  18   33.92  1349.95    8.364 
# 
  62.962   4   76.47  1399.98    3.848 
  15.014   6   65.61  1399.96    4.484 
  -5.602   8   57.67  1399.98    5.102 
 -15.518  10   51.56  1400.07    5.707 
 -20.662  12   46.67  1399.96    6.304 
 -23.455  14   42.67  1399.98    6.895 
 -25.042  16   39.33  1400.08    7.482 
 -25.978  18   36.48  1399.97    8.065 
# 
 -19.252  12   50.00  1449.05    6.091 
