# A=8, Z=2 
# NNLOopt interaction 
#  rp     Nmax   HW     UVeff    Leff
#====================================
# 
   1.753   4   17.44   749.18    9.028 
# 
   1.678   4   19.89   800.08    8.454 
   1.760   6   17.44   800.04    9.641 
   1.817   8   15.60   800.08   10.779 
   1.859  10   14.14   799.87   11.889 
   1.892  12   12.96   799.95   12.972 
# 
   1.616   4   22.45   850.01    7.957 
   1.704   6   19.69   850.08    9.074 
   1.763   8   17.61   850.06   10.145 
   1.808  10   15.97   850.05   11.187 
   1.843  12   14.63   849.93   12.210 
# 
   1.562   4   25.17   900.03    7.515 
   1.655   6   22.07   899.99    8.570 
   1.719   8   19.74   900.00    9.582 
   1.768  10   17.90   899.95   10.566 
   1.806  12   16.40   899.87   11.532 
# 
   1.513   4   28.04   949.96    7.120 
   1.610   6   24.59   949.99    8.119 
   1.680   8   22.00   950.13    9.077 
   1.734  10   19.95   950.09   10.009 
   1.776  12   18.28   950.05   10.923 
# 
   1.467   4   31.07   999.97    6.764 
   1.569   6   27.25  1000.05    7.713 
   1.645   8   24.37  1000.00    8.624 
   1.704  10   22.10   999.98    9.510 
   1.750  12   20.25   999.94   10.378 
# 
   1.423   4   34.26  1050.05    6.441 
   1.530   6   30.04  1050.00    7.346 
   1.611   8   26.87  1050.04    8.213 
   1.675  10   24.37  1050.08    9.056 
   1.726  12   22.33  1050.04    9.883 
# 
   1.381   4   37.60  1100.04    6.149 
   1.492   6   32.97  1100.01    7.012 
   1.579   8   29.49  1100.04    7.840 
   1.646  10   26.78  1100.78    8.639 
   1.702  12   24.51  1100.10    9.433 
# 
   1.339   4   41.09  1149.96    5.882 
   1.455   6   36.03  1149.93    6.708 
   1.546   8   32.23  1150.01    7.499 
   1.618  10   29.23  1150.03    8.269 
   1.677  12   26.78  1149.91    9.024 
# 
   1.300   4   44.74  1199.95    5.637 
   1.419   6   39.24  1200.06    6.427 
   1.514   8   35.09  1199.95    7.187 
   1.590  10   31.83  1200.09    7.924 
   1.652  12   29.16  1199.92    8.648 
# 
   1.260   4   48.55  1250.00    5.411 
   1.384   6   42.57  1249.94    6.171 
   1.481   8   38.08  1250.02    6.899 
   1.560  10   34.53  1249.95    7.608 
   1.625  12   31.64  1249.91    8.302 
# 
   1.223   4   52.51  1299.98    5.203 
   1.349   6   46.05  1300.03    5.933 
   1.449   8   41.19  1300.07    6.633 
   1.531  10   37.35  1299.99    7.315 
   1.599  12   34.23  1300.06    7.982 
# 
   1.187   4   56.63  1350.01    5.010 
   1.315   6   49.66  1350.02    5.713 
   1.417   8   44.41  1349.93    6.388 
   1.501  10   40.28  1350.02    7.044 
   1.572  12   36.91  1349.99    7.687 
# 
   1.152   4   60.90  1399.99    4.831 
   1.281   6   53.40  1399.94    5.510 
   1.386   8   47.77  1400.06    6.160 
   1.472  10   43.32  1400.03    6.792 
   1.544  12   39.70  1400.09    7.412 
