#6Li - NNLOopt data
#Energy   Nmax   HW     UVeff    Leff
#====================================
 -17.962   4   21.95   750.06    7.182 
 -22.495   6   18.83   749.99    8.371 
 -24.660   8   16.55   749.97    9.524 
 -25.939  10   14.80   750.11   10.652 
 -26.724  12   13.39   749.87   11.770 
 -27.268  14   12.25   750.11   12.869 
 -27.648  16   11.29   750.13   13.96
 -27.925  18   10.47   750.00   15.05
 -28.140  20    9.77   750.12   16.14
 -28.299  22    9.15   749.82   17.223 
#
 -17.854   4   24.97   799.99    6.733 
 -23.291   6   21.42   799.91    7.848 
 -25.724   8   18.83   799.96    8.929 
 -27.088  10   16.83   799.90    9.989 
 -27.888  12   15.24   800.00   11.032 
 -28.405  14   13.93   799.90   12.068
 -28.758  16   12.84   799.97   13.09
 -29.007  18   11.91   799.92   14.12 
 -29.191  20   11.11   799.91   15.13
 -29.335  22   10.42   800.17   16.139 
#
 -17.011   4   28.19   850.01    6.337 
 -23.534   6   24.19   850.06    7.385 
 -26.328   8   21.26   850.02    8.403 
 -27.803  10   19.00   849.90    9.401 
 -28.618  12   17.20   849.89   10.385 
 -29.123  14   15.73   850.01   11.357
 -29.449  16   14.50   850.11   12.32
 -29.670  18   13.45   850.06   13.28 
 -29.825  20   12.54   849.83   14.24
 -29.943  22   11.76   850.06   15.192 
#
 -15.393   4   31.60   899.95    5.985 
 -23.234   6   27.12   900.07    6.975 
 -26.525   8   23.83   899.93    7.937 
#-26.525   8   23.81   899.55    7.940 
 -28.155  10   21.31   900.09    8.877 
 -29.017  12   19.29   900.04    9.806 
 -29.518  14   17.63   899.88   10.727 
 -29.827  16   16.25   899.95   11.64
 -30.030  18   15.08   900.10   12.54
 -30.167  20   14.06   899.87   13.45
 -30.265  22   13.18   899.92   14.350 
#
 -12.938   4   35.21   949.97    5.670 
 -22.407   6   30.21   949.96    6.609 
 -26.360   8   26.56   950.08    7.518 
 -28.215  10   23.74   950.02    8.410 
 -29.167  12   21.49   949.98    9.291 
 -29.694  14   19.65   950.04   10.161 
 -30.006  16   18.11   950.06   11.03
 -30.202  18   16.80   950.05   11.88
 -30.331  20   15.67   949.99   12.74
 -30.419  22   14.69   950.08   13.592 
#
  -9.557   4   39.02  1000.05    5.386 
 -21.050   6   33.48  1000.06    6.278 
 -25.862   8   29.42   999.92    7.143 
 -28.042  10   26.30   999.93    7.991 
#-28.038  10   26.34  1000.69    7.984 
 -29.140  12   23.81   999.95    8.826 
 -29.725  14   21.77   999.97    9.654 
 -30.062  16   20.06   999.90   10.48
 -30.266  18   18.61   999.92   11.29
 -30.396  20   17.36   999.91   12.11
 -30.482  22   16.27   999.86   12.916 
#
  -5.159   4   43.02  1050.05    5.130 
 -19.161   6   36.91  1050.03    5.979 
 -25.038   8   32.44  1049.99    6.802 
 -27.668  10   29.00  1050.01    7.609 
 -28.975  12   26.25  1049.93    8.406 
 -29.657  14   24.00  1049.94    9.194 
 -30.041  16   22.12  1049.98    9.98
 -30.268  18   20.52  1049.98   10.75
 -30.409  20   19.14  1049.92   11.53
 -30.500  22   17.94  1049.93   12.300 
#
   0.365   4   47.21  1100.00    4.897 
 -16.705   6   40.51  1100.05    5.707 
 -23.883   8   35.60  1099.94    6.494 
 -27.103  10   31.83  1100.05    7.263 
 -28.688  12   28.81  1099.94    8.024 
#-28.691  12   28.79  1099.56    8.027 
 -29.509  14   26.34  1099.93    8.776 
 -29.964  16   24.28  1100.06    9.52
 -30.227  18   22.52  1099.95   10.27
 -30.389  20   21.01  1100.01   11.00
 -30.491  22   19.69  1099.94   11.741 
#
   7.139   4   51.60  1150.01    4.684 
#  7.073   4   51.56  1149.56    4.686 
 -13.643   6   44.27  1149.97    5.459 
 -22.375   8   38.91  1149.94    6.211 
 -26.339  10   34.79  1150.06    6.947 
 -28.280  12   31.49  1149.96    7.675 
 -29.286  14   28.79  1149.95    8.395 
 -29.837  16   26.53  1149.90    9.11
 -30.153  18   24.62  1150.10    9.82
 -30.344  20   22.96  1149.93   10.53
 -30.463  22   21.52  1149.92   11.230 
#
  15.252   4   56.18  1199.96    4.489 
  -9.893   6   48.21  1200.05    5.231 
 -20.487   8   42.37  1199.98    5.952 
 -25.357  10   37.88  1200.04    6.658 
 -27.742  12   34.29  1200.00    7.355 
 -28.983  14   31.35  1199.99    8.045 
 -29.660  16   28.89  1199.95    8.73
 -30.047  18   26.80  1199.94    9.41
 -30.277  20   25.00  1199.93   10.09
 -30.421  22   23.44  1200.12   10.760 
#
  24.811   4   60.96  1249.97    4.309 
# 24.917   4   61.01  1250.48    4.308 
  -5.400   6   52.31  1250.04    5.022 
 -18.183   8   45.98  1250.06    5.714 
 -24.133  10   41.10  1250.01    6.392 
 -27.062  12   37.21  1250.05    7.060 
 -28.592  14   34.02  1250.05    7.722 
 -29.429  16   31.35  1250.00    8.38
 -29.905  18   29.08  1249.94    9.03
 -30.188  20   27.13  1250.00    9.68
 -30.363  22   25.43  1250.03   10.331 
#
  35.895   4   65.94  1300.02    4.143 
  -0.088   6   56.57  1299.94    4.829 
 -15.431   8   49.73  1300.03    5.494 
 -22.639  10   44.45  1299.95    6.146 
 -26.224  12   40.24  1299.95    6.789 
 -28.105  14   36.79  1299.94    7.426  
 -29.136  16   33.91  1300.03    8.06 
 -29.725  18   31.46  1300.08    8.69
 -30.074  20   29.34  1299.91    9.31
 -30.288  22   27.50  1299.91    9.934 
#
  48.538   4   71.11  1350.03    3.990 
   6.145   6   61.01  1349.99    4.650 
 -12.179   8   53.63  1350.05    5.291 
#-12.223   8   53.58  1349.42    5.293 
 -20.843  10   47.94  1350.02    5.918 
 -25.204  12   43.40  1350.03    6.538 
 -27.504  14   39.68  1350.03    7.150
