#6Li - NNLOopt data
#Rptp   Nmax   HW     UVeff    Leff
#====================================
   1.900   4   21.95   750.06    7.182 
   2.036   6   18.83   749.99    8.371 
   2.127   8   16.55   749.97    9.524 
   2.198  10   14.80   750.11   10.652 
   2.253  12   13.39   749.87   11.770 
   2.299  14   12.25   750.11   12.869 
   2.338  16   11.29   750.13   13.96
   2.376  18   10.47   750.00   15.05
   2.410  20    9.77   750.12   16.14
   2.43905  22    9.15   749.82   17.223 
#
   1.825   4   24.97   799.99    6.733 
   1.969   6   21.42   799.91    7.848 
   2.066   8   18.83   799.96    8.929 
   2.143  10   16.83   799.90    9.989 
   2.201  12   15.24   800.00   11.032 
   2.250  14   13.93   799.90   12.068 
   2.290  16   12.84   799.97   13.09
   2.326  18   11.91   799.92   14.12
   2.357  20   11.11   799.91   15.13
   2.38842  22   10.42   800.17   16.139 
#
   1.758   4   28.19   850.01    6.337 
   1.908   6   24.19   850.06    7.385 
   2.015   8   21.26   850.02    8.403 
   2.099  10   19.00   849.90    9.401 
   2.162  12   17.20   849.89   10.385 
   2.215  14   15.73   850.01   11.357 
   2.259  16   14.50   850.11   12.32
   2.297  18   13.45   850.06   13.28
   2.329  20   12.54   849.83   14.24
   2.36124  22   11.76   850.06   15.192 
#
   1.696   4   31.60   899.95    5.985 
   1.852   6   27.12   900.07    6.975 
   1.970   8   23.83   899.93    7.937 
#  1.970   8   23.81   899.55    7.940 
   2.061  10   21.31   900.09    8.877 
   2.132  12   19.29   900.04    9.806 
   2.190  14   17.63   899.88   10.727 
   2.238  16   16.25  899.95    11.64
   2.279  18   15.08   900.10   12.54
   2.314  20   14.06   899.87   13.45
   2.34855  22   13.18   899.92   14.350 
#
   1.637   4   35.21   949.97    5.670 
   1.800   6   30.21   949.96    6.609 
   1.926   8   26.56   950.08    7.518 
   2.025  10   23.74   950.02    8.410 
   2.104  12   21.49   949.98    9.291
   2.168  14   19.65   950.04   10.161
   2.221  16   18.11  950.06    11.03
   2.266  18   16.80   950.05   11.88
   2.304  20   15.67   949.99   12.74
   2.34068  22   14.69   950.08   13.592 
#
   1.579   4   39.02  1000.05    5.386 
   1.748   6   33.48  1000.06    6.278 
   1.883   8   29.42   999.92    7.143 
   1.989  10   26.30   999.93    7.991
#  1.989  10   26.34  1000.69    7.984
   2.075  12   23.81   999.95    8.826
   2.145  14   21.77   999.97    9.654 
   2.203  16   20.06  999.90    10.48
   2.252  18   18.61   999.92   11.29
   2.294  20   17.36   999.91   12.11
