# t       height    err_h    velocity    err_v    accln    err_a
0.000000 59.953053 0.100000 -0.181605 0.200000 9.619808 0.300000
0.120700 59.983540 0.100000 0.878385 0.200000 9.173467 0.300000
0.229800 59.703363 0.100000 2.401646 0.200000 7.841152 0.300000
0.339700 59.426090 0.100000 2.858708 0.200000 6.982714 0.300000
0.446800 59.152019 0.100000 3.521519 0.200000 4.873488 0.300000
0.558000 58.519248 0.100000 3.685791 0.200000 3.175974 0.300000
0.668200 58.081616 0.100000 4.185130 0.200000 2.671368 0.300000
0.786600 57.674589 0.100000 4.551186 0.200000 1.229007 0.300000
0.895300 57.128941 0.100000 4.441839 0.200000 1.131486 0.300000
1.007400 56.732050 0.100000 4.844917 0.200000 0.111789 0.300000
