#pT(GeV)           CH:dN/d2pT        CH:dN/d2pT_err    CH:v2(pT)         CH:v2(pT)_err     CH:v3(pT)         CH:v3(pT)_err     pi+:dN/d2pT       pi+:dN/d2pT_err   pi+:v2(pT)        pi+:v2(pT)_err    p:dN/d2pT         p:dN/d2pT_err     p:v2(pT)          p:v2(pT)_err     
1.000000e-01      1.181600e+02      3.209800e-01      7.070700e-03      1.379300e-04      6.441100e-04      1.393500e-04      9.832700e+01      2.659400e-01      6.148200e-03      1.610700e-04      5.855800e-01      2.358900e-03      4.437900e-03      1.914100e-03     
3.000000e-01      1.120100e+02      2.992800e-01      3.089000e-02      2.071600e-04      4.985400e-03      1.039100e-04      5.844100e+01      1.562000e-01      3.149800e-02      2.289800e-04      7.183900e-01      2.310600e-03      5.269900e-03      1.127100e-03     
5.000000e-01      5.512700e+01      1.412700e-01      6.028000e-02      3.799000e-04      1.421400e-02      1.526500e-04      2.490600e+01      6.356000e-02      6.267000e-02      4.132200e-04      6.699300e-01      2.044500e-03      1.778900e-02      9.342400e-04     
7.000000e-01      2.740400e+01      6.770800e-02      8.556200e-02      5.422900e-04      2.489300e-02      2.425700e-04      1.114800e+01      2.755800e-02      9.023500e-02      5.866400e-04      5.807300e-01      1.709500e-03      3.623200e-02      8.690600e-04     
9.000000e-01      1.417900e+01      3.436300e-02      1.055400e-01      6.630900e-04      3.541300e-02      3.460000e-04      5.253300e+00      1.278800e-02      1.117100e-01      7.184000e-04      4.679800e-01      1.324900e-03      5.947300e-02      9.361100e-04     
1.100000e+00      7.599000e+00      1.838900e-02      1.220100e-01      7.818900e-04      4.526100e-02      4.329500e-04      2.575900e+00      6.342200e-03      1.287300e-01      8.508100e-04      3.553800e-01      1.000800e-03      8.597000e-02      1.041500e-03     
1.300000e+00      4.186100e+00      1.026000e-02      1.355300e-01      8.647200e-04      5.415000e-02      5.316100e-04      1.303000e+00      3.256800e-03      1.427400e-01      9.690000e-04      2.562600e-01      7.441900e-04      1.098500e-01      1.154400e-03     
1.500000e+00      2.360000e+00      5.990600e-03      1.463900e-01      9.589500e-04      6.237500e-02      6.076800e-04      6.774400e-01      1.787400e-03      1.532600e-01      1.096300e-03      1.761300e-01      5.215000e-04      1.298600e-01      1.325100e-03     
1.700000e+00      1.355000e+00      3.541800e-03      1.568100e-01      1.047400e-03      6.956600e-02      7.231700e-04      3.599200e-01      1.000500e-03      1.613600e-01      1.225900e-03      1.173900e-01      3.690500e-04      1.528300e-01      1.518400e-03     
1.900000e+00      7.901700e-01      2.154700e-03      1.659400e-01      1.131600e-03      7.690400e-02      8.367500e-04      1.953200e-01      5.840900e-04      1.678800e-01      1.401500e-03      7.640100e-02      2.512500e-04      1.658800e-01      1.690900e-03     
