#pT(GeV)           CH:dN/d2pT        CH:dN/d2pT_err    CH:v2(pT)         CH:v2(pT)_err     CH:v3(pT)         CH:v3(pT)_err     pi+:dN/d2pT       pi+:dN/d2pT_err   pi+:v2(pT)        pi+:v2(pT)_err    p:dN/d2pT         p:dN/d2pT_err     p:v2(pT)          p:v2(pT)_err     
1.000000e-01      1.165800e+02      3.188000e-01      7.115100e-03      1.442700e-04      4.927900e-04      1.310800e-04      9.696200e+01      2.651100e-01      6.298300e-03      1.589400e-04      5.917800e-01      2.439900e-03      1.783800e-03      1.913200e-03     
3.000000e-01      1.103500e+02      2.957700e-01      3.164300e-02      2.116200e-04      4.841100e-03      1.059100e-04      5.750200e+01      1.541900e-01      3.204600e-02      2.337700e-04      7.278200e-01      2.368900e-03      5.544200e-03      1.152600e-03     
5.000000e-01      5.394400e+01      1.385800e-01      6.212700e-02      3.942600e-04      1.482100e-02      1.662500e-04      2.432100e+01      6.238500e-02      6.491400e-02      4.239800e-04      6.738500e-01      2.071200e-03      2.045700e-02      9.255200e-04     
7.000000e-01      2.656300e+01      6.604800e-02      8.790900e-02      5.593200e-04      2.591600e-02      2.700900e-04      1.077600e+01      2.669000e-02      9.241500e-02      6.000500e-04      5.795300e-01      1.707000e-03      3.899800e-02      9.077300e-04     
9.000000e-01      1.361900e+01      3.328300e-02      1.091800e-01      6.960000e-04      3.701300e-02      3.812300e-04      5.024100e+00      1.231300e-02      1.154100e-01      7.645400e-04      4.632600e-01      1.343400e-03      6.265800e-02      9.455500e-04     
1.100000e+00      7.234900e+00      1.762800e-02      1.262600e-01      8.100100e-04      4.732200e-02      4.782900e-04      2.440600e+00      6.022200e-03      1.332900e-01      8.871700e-04      3.475700e-01      9.963800e-04      8.965200e-02      1.050000e-03     
1.300000e+00      3.953600e+00      9.754800e-03      1.409800e-01      9.170700e-04      5.760400e-02      6.087600e-04      1.224800e+00      3.111800e-03      1.476400e-01      1.021100e-03      2.459300e-01      7.159700e-04      1.165900e-01      1.215600e-03     
1.500000e+00      2.214800e+00      5.614900e-03      1.530900e-01      1.008400e-03      6.607800e-02      7.075300e-04      6.326600e-01      1.677700e-03      1.596100e-01      1.161900e-03      1.675200e-01      5.029900e-04      1.363000e-01      1.361200e-03     
1.700000e+00      1.263900e+00      3.329500e-03      1.629100e-01      1.114600e-03      7.464100e-02      8.101100e-04      3.337400e-01      9.350300e-04      1.668800e-01      1.327100e-03      1.104400e-01      3.551000e-04      1.557600e-01      1.585900e-03     
1.900000e+00      7.316500e-01      1.997700e-03      1.721000e-01      1.184300e-03      8.205000e-02      9.560500e-04      1.798800e-01      5.346200e-04      1.749100e-01      1.493100e-03      7.124000e-02      2.438200e-04      1.729700e-01      1.795300e-03     
