param,min,max
norm,10.00000,20.00000
trento_p,-0.70000,0.70000
sigma_k,0.30000,2.00000
nucleon_width,0.50000,1.50000
dmin3,0.00000,4.91300
tau_R,0.30000,2.00000
alpha,-0.30000,0.30000
eta_over_s_T_kink_in_GeV,0.13000,0.30000
eta_over_s_low_T_slope_in_GeV,-2.00000,1.00000
eta_over_s_high_T_slope_in_GeV,-1.00000,2.00000
eta_over_s_at_kink,0.01000,0.20000
zeta_over_s_max,0.01000,0.20000
zeta_over_s_T_peak_in_GeV,0.12000,0.30000
zeta_over_s_width_in_GeV,0.02500,0.15000
zeta_over_s_lambda_asymm,-0.80000,0.80000
shear_relax_time_factor,2.00000,8.00000
Tswitch,0.13000,0.16500
